goals,birthday,skin_colour,victories,leagueCountry,weight,ties,position,yellowCards,redCards,defeats,yellowReds,height,games,club
1,1992,0,41,0,77,9,9,3,0,21,2,185,71,6
9,1985,0,78,1,84,64,1,25,5,88,0,184,230,3
2,1994,0,3,2,81,3,9,4,0,10,0,179,16,11
0,1973,0,57,0,89,40,5,2,0,34,0,196,131,78
0,1984,1,107,3,78,75,5,20,3,112,0,184,294,50
1,1986,0,59,3,79,44,9,17,1,46,1,189,149,65
178,1984,0,283,0,75,84,8,61,4,99,1,171,466,46
70,1989,0,120,3,75,60,11,33,1,85,0,177,265,65
5,1989,0,68,2,78,35,1,53,2,53,2,185,156,25
81,1983,1,130,0,88,90,2,41,2,145,1,190,365,89
1,1986,0,53,3,76,28,6,58,1,67,2,173,148,60
1,1986,0,50,3,71,29,6,22,1,35,2,182,114,9
1,1982,0,49,3,78,30,5,11,3,40,0,182,119,62
18,1979,0,189,3,72,117,1,122,4,146,2,183,452,10
0,1981,0,136,1,87,98,5,9,2,80,1,192,314,36
9,1979,0,133,1,77,99,1,40,2,122,0,181,354,32
43,1984,1,101,2,77,81,0,33,0,125,0,177,307,69
112,1987,0,353,3,75,107,3,92,1,79,0,179,539,29
12,1986,0,32,1,68,33,0,28,0,39,0,180,104,3
6,1988,1,122,1,75,63,4,32,0,59,6,181,244,56
33,1986,1,101,0,70,85,7,33,1,129,0,170,315,8
31,1989,1,55,1,90,26,0,12,0,71,1,191,152,75
61,1988,1,61,1,84,48,2,19,1,46,0,194,155,36
5,1986,1,121,0,76,57,4,82,4,83,2,180,261,51
0,1985,1,2,1,80,0,5,0,0,3,0,191,5,77
27,1987,0,82,2,83,54,8,9,0,76,0,178,212,1
33,1986,1,71,2,79,44,11,22,1,47,0,188,162,31
17,1978,0,68,2,79,40,1,48,2,72,1,185,180,2
7,1982,0,119,0,77,95,4,55,1,126,2,186,340,34
3,1989,0,120,0,71,78,9,29,1,132,1,180,330,61
10,1989,0,84,2,65,34,6,19,0,36,0,175,154,16
0,1991,1,41,1,76,16,1,19,1,25,0,182,82,77
6,1989,0,95,0,90,25,1,8,0,41,0,193,161,47
84,1990,1,92,0,83,46,2,21,3,78,1,190,216,8
25,1986,0,162,2,84,96,6,66,1,153,2,186,411,31
53,1985,0,170,2,80,84,4,28,0,123,0,189,377,85
3,1993,0,49,2,81,28,6,12,0,30,0,184,107,69
8,1984,0,159,3,80,72,9,51,2,87,3,180,318,41
5,1994,0,29,2,75,16,0,8,0,15,0,186,60,38
18,1983,0,120,2,80,42,6,14,1,67,1,186,229,39
26,1983,0,200,2,80,79,1,74,0,146,3,185,425,39
63,1986,0,61,3,77,64,2,49,1,82,1,186,207,26
10,1987,0,115,2,75,65,4,29,1,96,1,180,276,86
0,1980,0,36,2,90,25,5,4,0,48,0,195,109,87
0,1980,0,69,2,90,45,5,20,3,69,0,190,183,1
0,1981,0,40,2,91,21,5,2,0,47,0,194,108,15
4,1980,0,168,2,92,54,1,30,0,88,0,194,310,31
12,1983,0,117,1,65,87,9,24,1,70,1,178,274,57
53,1988,0,71,2,75,48,2,17,0,58,0,184,177,74
52,1985,0,66,3,70,52,2,20,0,63,0,183,181,20
2,1986,0,30,3,63,28,9,16,1,32,0,173,90,72
6,1994,0,26,2,77,11,10,5,0,18,0,186,55,87
78,1985,0,150,2,80,69,11,36,2,97,1,185,316,31
5,1982,0,49,3,76,48,6,46,1,71,4,184,168,10
1,1983,0,132,3,84,76,5,19,1,111,0,185,319,65
264,1978,0,333,2,84,136,2,54,2,150,3,184,619,12
17,1980,0,178,2,81,103,9,76,0,138,2,183,419,87
9,1987,0,102,1,71,67,4,36,0,62,2,179,231,57
14,1991,0,62,1,72,27,10,21,1,30,0,186,119,55
117,1983,0,169,0,77,95,0,32,0,134,0,185,398,80
23,1987,0,87,3,70,60,9,48,2,56,3,176,203,72
5,1986,1,56,2,71,28,6,21,3,54,0,177,138,25
0,1987,0,71,0,96,43,5,13,1,31,0,203,145,46
31,1986,0,87,0,76,65,10,45,2,87,2,178,239,79
0,1985,0,40,3,88,37,5,18,0,59,0,186,136,26
1,1983,0,75,3,73,42,4,47,1,49,2,177,166,20
3,1983,0,113,2,72,68,6,38,1,89,1,178,270,85
34,1985,0,191,3,81,80,7,37,1,70,1,178,341,10
9,1984,0,104,3,81,38,9,58,1,51,3,187,193,67
29,1991,0,90,3,65,28,8,6,0,22,0,178,140,29
420,1985,0,435,3,80,118,8,93,5,97,3,185,650,63
16,1982,0,48,0,65,40,7,35,2,74,1,165,162,90
13,1981,0,130,0,84,73,1,50,2,88,2,190,291,79
10,1975,0,164,1,68,105,6,107,13,140,6,177,409,49
1,1992,0,8,3,70,4,9,1,0,4,0,178,16,83
5,1982,0,77,3,79,64,9,66,2,93,2,188,234,18
0,1992,0,8,0,76,1,5,1,0,9,0,193,18,6
79,1979,0,254,0,70,151,8,33,0,193,0,178,598,34
0,1979,0,84,1,90,87,5,5,0,90,0,194,261,4
13,1984,0,71,3,78,68,1,42,1,94,3,184,233,62
12,1990,0,56,0,71,24,4,12,1,40,0,178,120,51
